学校名称	英文名称
湖南农业大学东方科技学院	"School of Oriental science and technology, hunan agricultural university"
湖南文理学院芙蓉学院	Hunan college of arts and sciences furong college
长沙师范学院	Changsha normal university
湖南应用技术学院	Hunan institute of applied technology
湖南信息学院	Hunan information university
湖南交通工程学院	Hunan traffic engineering college
汕头大学	Shantou university
华南农业大学	South China agricultural university
广东海洋大学	Guangdong ocean university
广州医科大学	Guangzhou medical university
广东医科大学	Guangdong medical university
广州中医药大学	Guangzhou university of traditional Chinese medicine
广东药科大学	Guangdong pharmaceutical university
韶关学院	"Shaoguan college,"
惠州学院	Huizhou university
韩山师范学院	Han shan normal university
岭南师范学院	Lingnan normal university
肇庆学院	Zhaoqing university
嘉应学院	Scarlett should institute
广东技术师范学院	Guangdong normal university of technology
深圳大学	"Shenzhen university,"
广州大学	Guangzhou university
广州航海学院	Guangzhou navigation college
仲恺农业工程学院	Zhongkai college of agricultural engineering
五邑大学	Wuyi university
电子科技大学中山学院	Sun yat-sen university of electronic science and technology
广东石油化工学院	Guangdong university of petroleum and chemical technology
东莞理工学院	Dongguan institute of technology
广东工业大学	Guangdong university of technology
佛山科学技术学院	Foshan institute of science and technology
南方医科大学	Southern medical university
广东东软学院	Guangdong neusoft university
华南理工大学广州学院	Guangzhou college of south China university of technology
广州大学华软软件学院	"China software college, guangzhou university"
广东海洋大学寸金学院	"Cun jin college, guangdong ocean university"
华南农业大学珠江学院	South China agricultural university pearl river college
广东技术师范学院天河学院	"Tianhe college, guangdong normal university of technology"
广东工业大学华立学院	"China institute of technology, guangdong university of technology"
北京理工大学珠海学院	Zhuhai college of Beijing university of technology
吉林大学珠海学院	Zhuhai college of jilin university
广东科技学院	Guangdong university of science and technology
广东理工学院	Guangdong institute of technology
广东第二师范学院	Guangdong second normal university
南方科技大学	Southern university of science and technology
广西科技大学	Guangxi university of science and technology
桂林电子科技大学	Guilin university of electronic science and technology
桂林理工大学	Guilin university of technology
广西医科大学	Guangxi medical university
右江民族医学院	Youjiang college of ethnic medicine
广西中医药大学	Guangxi university of traditional Chinese medicine
桂林医学院	Guilin medical college
广西师范大学	Guangxi normal university
广西师范学院	Guangxi normal university
广西民族师范学院	Guangxi national normal university
河池学院	Hechi college
玉林师范学院	Yulin normal university
广西民族大学	Guangxi university for nationalities
百色学院	The baise college
梧州学院	Wuzhou institute
广西科技师范学院	Guangxi normal university of science and technology
广西财经学院	Guangxi university of finance and economics
南宁学院	Nanning college
钦州学院	Qinzhou college
桂林航天工业学院	Guilin aerospace industry college
贺州学院	Congratulation state college
广西警察学院	Guangxi police college
广西大学行健文理学院	"Xingjian college of arts and sciences, guangxi university"
广西科技大学鹿山学院	"Lushan college, guangxi university of science and technology"
广西师范大学漓江学院	"Li jiang college, guangxi normal university"
广西师范学院师园学院	Division garden college of guangxi normal university
广西中医药大学赛恩斯新医药学院	"Siensi new medical college, guangxi university of traditional Chinese medicine"
桂林电子科技大学信息科技学院	"School of information technology, guilin university of electronic science and technology"
桂林理工大学博文管理学院	"College of blog management, guilin university of technology"
广西外国语学院	Guangxi foreign language institute
海南热带海洋学院	Hainan tropical ocean college
海南师范大学	Hainan normal university
海南医学院	Hainan medical college
海口经济学院	Haikou college of economics
琼台师范学院	Qiongtai normal university
三亚学院	"Sanya college,"
重庆邮电大学	Chongqing university of posts and telecommunications
重庆交通大学	Chongqing jiaotong university
重庆医科大学	Chongqing medical university
重庆师范大学	Chongqing normal university
重庆文理学院	Chongqing college of arts and sciences
重庆三峡学院	Chongqing three gorges university
长江师范学院	Changjiang normal university
西南政法大学	Southwest university of political science and law
四川美术学院	Sichuan academy of fine arts
重庆科技学院	Chongqing university of science and technology
重庆理工大学	Chongqing university of technology
重庆工商大学	Chongqing university of commerce and industry
重庆工程学院	Chongqing institute of engineering
重庆大学城市科技学院	"College of urban science and technology, chongqing university"
重庆警察学院	Chongqing police college
四川外国语大学重庆南方翻译学院	"Chongqing southern translation college, sichuan foreign studies university"
重庆师范大学涉外商贸学院	"College of foreign trade and commerce, chongqing normal university"
重庆工商大学融智学院	"Rongzhi college, chongqing university of technology and technology"
重庆邮电大学移通学院	Transfer college of chongqing university of posts and telecommunications
重庆第二师范学院	Chongqing second normal university
西南石油大学	Southwest petroleum university
成都理工大学	Chengdu university of technology
西南科技大学	Southwest university of science and technology
成都信息工程大学	Chengdu university of information engineering
四川理工学院	Sichuan institute of technology
西华大学	Xihua university
中国民用航空飞行学院	China civil aviation flight academy
西昌学院	Xichang college
西南医科大学	Southwest medical university
成都中医药大学	Chengdu university of traditional Chinese medicine
川北医学院	North sichuan medical college
四川师范大学	Sichuan normal university
西华师范大学	Xihua normal university
绵阳师范学院	Mianyang normal university
内江师范学院	Neijiang normal university
宜宾学院	"Yibin college,"
四川文理学院	Sichuan college of arts and sciences
阿坝师范学院	Aba normal university
乐山师范学院	Leshan normal university
成都体育学院	Chengdu sports university
西南民族大学	Southwest nationalities university
成都学院	Chengdu institute of
成都工业学院	Chengdu institute of technology
攀枝花学院	Panzhihua college
四川旅游学院	Sichuan tourism college
四川民族学院	Sichuan nationalities university
电子科技大学成都学院	Chengdu university of electronic science and technology
成都理工大学工程技术学院	"School of engineering and technology, chengdu university of technology"
成都传媒学院	Chengdu communication university
成都文理学院	Chengdu college of arts and sciences
四川工商学院	Sichuan university of commerce and industry
成都医学院	Chengdu medical college
四川工业科技学院	Sichuan institute of technology
四川大学锦城学院	"Jincheng college, sichuan university"
西南财经大学天府学院	Southwest university of finance and economics tianfu college
四川大学锦江学院	"Jinjiang college, sichuan university"
西南科技大学城市学院	Southwest university of science and technology city college
西南交通大学希望学院	Southwest jiaotong university hope college
成都师范学院	Chengdu normal university
贵州医科大学	Guizhou medical university
遵义医学院	Zunyi medical college
贵阳中医学院	Guiyang college of traditional Chinese medicine
贵州师范大学	Guizhou normal university
遵义师范学院	Zunyi normal university
铜仁学院	Tongren college
兴义民族师范学院	Xingyi national normal college
安顺学院	Anshun college
贵州工程应用技术学院	Guizhou institute of engineering application technology
凯里学院	"Carey college,"
黔南民族师范学院	Qiannan national normal college
贵州财经大学	Guizhou university of finance and economics
贵州民族大学	Guizhou nationalities university
贵阳学院	Guiyang institute
六盘水师范学院	Liupanshui normal university
贵州商学院	Guizhou business school
贵州师范学院	Guizhou normal university
贵州理工学院	Guizhou institute of technology
昆明理工大学	Kunming university of technology
云南农业大学	Yunnan agricultural university
西南林业大学	Southwest forestry university
昆明医科大学	Kunming medical university
大理大学	Dali university
云南中医学院	Yunnan university of traditional Chinese medicine
云南师范大学	Yunnan normal university
昭通学院	Institute of zhaotong
曲靖师范学院	Qujing normal university
普洱学院	Pu-erh tea college
保山学院	Institute of baoshan
红河学院	Honghe university
云南财经大学	Yunnan university of finance and economics
云南民族大学	Yunnan nationalities university
玉溪师范学院	Yuxi normal university
楚雄师范学院	Chuxiong normal university
云南警官学院	Yunnan police academy
昆明学院	Kunming institute of
文山学院	Institute of wenshan
云南大学滇池学院	Yunnan university dianchi college
云南大学旅游文化学院	"School of tourism and culture, yunnan university"
昆明理工大学津桥学院	"Kunming university of technology, jinqiao college"
云南师范大学商学院	Business school of yunnan normal university
云南师范大学文理学院	"College of arts and sciences, yunnan normal university"
昆明医科大学海源学院	Kunming medical university haiyuan college
云南工商学院	Yunnan university of commerce and industry
滇西科技师范学院	West yunnan normal university of science and technology
西藏农牧学院	Tibetan college of agriculture and animal husbandry
西藏民族大学	Tibet nationalities university
西藏藏医学院	Tibetan medical college of Tibet
西安理工大学	Xi 'an university of technology
西安工业大学	Xi 'an university of technology
西安建筑科技大学	Xi 'an university of architecture and technology
西安科技大学	Xi 'an university of science and technology
西安石油大学	Xi 'an university of petroleum
陕西科技大学	Shaanxi university of science and technology
西安工程大学	Xi 'an engineering university
陕西中医药大学	Shaanxi university of traditional Chinese medicine
陕西理工大学	Shaanxi university of technology
宝鸡文理学院	Baoji college of arts and sciences
咸阳师范学院	Xianyang normal university
渭南师范学院	Weinan normal university
西安文理学院	Xi 'an college of arts and sciences
榆林学院	Institute of yulin.
商洛学院	Institute of shangluo
安康学院	Ankang college
西安培华学院	Xi 'an peihua college
西安财经学院	Xi 'an university of finance and economics
西安邮电大学	Xi 'an university of posts and telecommunications
西安航空学院	Xi 'an aviation university
西安医学院	Xi 'an medical college
西安欧亚学院	Xi 'an Eurasia university
西安外事学院	Xi 'an institute of foreign affairs
西安翻译学院	Xi 'an translation college
西京学院	Institute of xiking
西安思源学院	Xi 'an siyuan college
陕西国际商贸学院	Shaanxi international business school
陕西服装工程学院	Shaanxi university of fashion engineering
西安交通大学城市学院	City college of xi 'an jiaotong university
西北大学现代学院	Northwestern university modern college
西安建筑科技大学华清学院	"Huaqing college, xi 'an university of architecture and technology"
西安工业大学北方信息工程学院	North information engineering college of xi 'an university of technology
延安大学西安创新学院	"Xi 'an innovation college, yan 'an university"
西北工业大学明德学院	"Mingde college, northwest university of technology"
西安理工大学高科学院	"High school of science, xi 'an university of technology"
西安科技大学高新学院	Xi 'an university of science and technology
陕西学前师范学院	Shaanxi preschool normal college
兰州理工大学	Lanzhou university of technology
兰州交通大学	Lanzhou jiaotong university
甘肃农业大学	Gansu agricultural university
甘肃中医药大学	Gansu university of traditional Chinese medicine
兰州城市学院	Lanzhou city college
陇东学院	Longdong college
天水师范学院	Tianshui normal university
河西学院	Hexi college
西北民族大学	Northwest nationalities university
甘肃民族师范学院	Gansu national normal university
兰州文理学院	Lanzhou college of arts and sciences
甘肃医学院	Gansu medical college
兰州工业学院	Lanzhou institute of technology
兰州财经大学陇桥学院	"Lanzhou university of finance and economics, longqiao college"
兰州交通大学博文学院	"Bowen college, lanzhou jiaotong university"
兰州理工大学技术工程学院	"School of technical engineering, lanzhou university of technology"
青海师范大学	Qinghai normal university
青海民族大学	Qinghai university for nationalities
宁夏医科大学	Ningxia medical university
宁夏师范学院	Ningxia normal university
北方民族大学	Northern nationalities university
宁夏理工学院	Ningxia institute of technology
宁夏大学新华学院	"Xinhua college, ningxia university"
银川能源学院	Yinchuan energy institute
中国矿业大学银川学院	"Yinchuan college, China mining university"
塔里木大学	Tarim university
新疆农业大学	Xinjiang agricultural university
新疆医科大学	Xinjiang medical university
新疆师范大学	Xinjiang normal university
喀什大学	University of kashgar
伊犁师范学院	Yili normal university
新疆工程学院	Xinjiang institute of engineering
昌吉学院	Changji college
新疆警察学院	Xinjiang police college
新疆大学科学技术学院	"School of science and technology, xinjiang university"
新疆农业大学科学技术学院	"School of science and technology, xinjiang agricultural university"
北京工业职业技术学院	Beijing institute of industrial technology
北京信息职业技术学院	Beijing institute of information technology
北京电子科技职业学院	Beijing electronic technology vocational college
北京京北职业技术学院	Beijing jingbei vocational and technical college
北京交通职业技术学院	Beijing jiaotong vocational and technical college
北京农业职业学院	Beijing agricultural vocational college
北京经贸职业学院	Beijing business school
北京科技经营管理学院	Beijing institute of science and technology management
北京培黎职业学院	Beijing peili vocational college
北京艺术传媒职业学院	Beijing vocational college of arts and media
北京交通运输职业学院	Beijing vocational college of transportation
北京卫生职业学院	Beijing health vocational college
天津市职业大学	Tianjin vocational university
河北工业职业技术学院	Hebei institute of industrial technology
邯郸职业技术学院	Handan vocational and technical college
石家庄职业技术学院	Shijiazhuang vocational and technical college
张家口职业技术学院	Zhangjiakou vocational and technical college
承德石油高等专科学校	Chengde petroleum college
邢台职业技术学院	Xingtai vocational and technical college
河北软件职业技术学院	Hebei software vocational and technical college
河北石油职业技术学院	Hebei petroleum institute of vocational technology
河北建材职业技术学院	Hebei building materials vocational and technical college
河北政法职业学院	Hebei university of political science and law
沧州职业技术学院	Cangzhou vocational and technical college
河北能源职业技术学院	Hebei energy vocational and technical college
石家庄铁路职业技术学院	Shijiazhuang railway vocational and technical college
保定职业技术学院	Baoding vocational and technical college
保定幼儿师范高等专科学校	Baoding infant normal college
秦皇岛职业技术学院	Qinhuangdao vocational and technical college
石家庄工程职业学院	Shijiazhuang engineering vocational college
石家庄城市经济职业学院	Shijiazhuang city economic vocational college
唐山职业技术学院	Tangshan vocational and technical college
衡水职业技术学院	Hengshui college of vocational technology
唐山工业职业技术学院	Tangshan institute of industrial technology
邢台医学高等专科学校	Xingtai medical college
河北省艺术职业学院	Hebei art vocational college
河北旅游职业学院	Hebei tourism vocational college
石家庄财经职业学院	Shijiazhuang college of finance and economics
河北交通职业技术学院	Hebei jiaotong vocational and technical college
河北化工医药职业技术学院	Hebei university of chemical medicine
石家庄信息工程职业学院	Shijiazhuang information engineering vocational college
河北对外经贸职业学院	Hebei vocational college of foreign trade and economic cooperation
保定电力职业技术学院	Baoding electric power technical college
河北机电职业技术学院	Hebei institute of mechanical and electrical technology
渤海石油职业学院	Bohai oil vocational college
廊坊职业技术学院	Langfang vocational and technical college
唐山科技职业技术学院	Tangshan college of science and technology
石家庄邮电职业技术学院	Shijiazhuang vocational college of posts and telecommunications
河北公安警察职业学院	Hebei police vocational college
石家庄工商职业学院	Shijiazhuang college of commerce and industry
石家庄理工职业学院	Shijiazhuang institute of technology
石家庄科技信息职业学院	Shijiazhuang technical information vocational college
河北司法警官职业学院	Hebei judicial police vocational college
沧州医学高等专科学校	Cangzhou medical college
河北女子职业技术学院	Hebei women's vocational and technical college
石家庄医学高等专科学校	Shijiazhuang medical college
石家庄经济职业学院	Shijiazhuang vocational college of economics
冀中职业学院	Jizhong vocational college
石家庄人民医学高等专科学校	Shijiazhuang people's medical college
石家庄科技工程职业学院	Shijiazhuang institute of technology and engineering
河北劳动关系职业学院	Hebei vocational college of labor relations
石家庄科技职业学院	Shijiazhuang institute of science and technology
泊头职业学院	Berthing vocational college
宣化科技职业学院	Xuanhua college of science and technology
廊坊燕京职业技术学院	Langfang yanjing vocational and technical college
承德护理职业学院	Chengde nursing college
石家庄幼儿师范高等专科学校	Shijiazhuang infant normal college
廊坊卫生职业学院	Langfang health vocational college
河北轨道运输职业技术学院	Hebei railway transportation vocational and technical college
渤海理工职业学院	Bohai institute of technology
长治职业技术学院	Changzhi vocational and technical college
晋城职业技术学院	Jincheng vocational and technical college
山西建筑职业技术学院	Shanxi vocational college of architecture
山西药科职业学院	Shanxi pharmaceutical college
山西工程职业技术学院	Shanxi institute of engineering
山西交通职业技术学院	Shanxi jiaotong vocational and technical college
大同煤炭职业技术学院	Datong coal technical college
山西机电职业技术学院	Shanxi institute of mechanical and electrical technology
山西财贸职业技术学院	Shanxi college of finance and trade
山西林业职业技术学院	Shanxi forestry vocational and technical college
临汾职业技术学院	Linfen vocational and technical college
山西职业技术学院	Shanxi vocational and technical college
山西煤炭职业技术学院	Shanxi coal technical college
山西金融职业学院	Shanxi vocational college of finance
太原城市职业技术学院	Taiyuan city vocational and technical college
山西警官职业学院	Shanxi police vocational college
潞安职业技术学院	Lu 'an vocational and technical college
太原旅游职业学院	Taiyuan vocational college of tourism
山西旅游职业学院	Shanxi tourism vocational college
山西管理职业学院	Shanxi management vocational college
山西电力职业技术学院	Shanxi electric power vocational and technical college
忻州职业技术学院	Xinzhou vocational and technical college
山西同文职业技术学院	Shanxi tongwen vocational and technical college
晋中职业技术学院	Jinzhong vocational and technical college
山西华澳商贸职业学院	Shanxi sino-australian business vocational college
山西运城农业职业技术学院	Shanxi yuncheng agricultural vocational technical college
山西老区职业技术学院	Shanxi old district vocational and technical college
山西经贸职业学院	Shanxi economic and trade vocational college
运城职业技术学院	Yuncheng vocational and technical college
山西轻工职业技术学院	Shanxi light industry vocational and technical college
晋中师范高等专科学校	Jinzhong normal college
阳泉师范高等专科学校	Yangquan normal college
山西青年职业学院	Shanxi youth vocational college
运城护理职业学院	Yuncheng nursing college
运城师范高等专科学校	Yuncheng normal college
内蒙古建筑职业技术学院	Inner Mongolia institute of architectural technology
内蒙古丰州职业学院	Inner Mongolia fengzhou vocational college
包头职业技术学院	Baotou vocational and technical college
兴安职业技术学院	Xingan vocational and technical college
呼和浩特职业学院	Hohhot vocational college
包头轻工职业技术学院	Baotou light industry technical college
内蒙古电子信息职业技术学院	Inner Mongolia institute of electronic information technology
内蒙古机电职业技术学院	Inner Mongolia institute of mechanical and electrical technology
内蒙古化工职业学院	Inner Mongolia institute of chemical technology
内蒙古商贸职业学院	Inner Mongolia vocational college of commerce and trade
锡林郭勒职业学院	Xilingol vocational college
内蒙古警察职业学院	Inner Mongolia police vocational college
内蒙古体育职业学院	Inner Mongolia vocational college of physical education
乌兰察布职业学院	Ulanqab vocational college
通辽职业学院	Tongliao vocational college
科尔沁艺术职业学院	Horqin vocational college of art
内蒙古交通职业技术学院	Inner Mongolia institute of transportation technology
包头钢铁职业技术学院	Baotou iron and steel technical college
乌海职业技术学院	Wuhai vocational and technical college
包头铁道职业技术学院	Baotou railway technical college
鄂尔多斯职业学院	Ordos vocational college
呼伦贝尔职业技术学院	Hulunbuir college of vocational technology
满洲里俄语职业学院	Manzhouli Russian vocational college
赤峰工业职业技术学院	Chifeng institute of industrial technology
阿拉善职业技术学院	Alashan vocational and technical college
内蒙古美术职业学院	Inner Mongolia academy of fine arts
内蒙古民族幼儿师范高等专科学校	Inner Mongolia normal college for ethnic children
鄂尔多斯生态环境职业学院	Ordos vocational college of ecological environment
扎兰屯职业学院	Zarantun vocational college
辽宁农业职业技术学院	Liaoning agricultural vocational technical college
辽阳职业技术学院	Liaoyang vocational and technical college
辽宁省交通高等专科学校	Liaoning jiaotong technical college
辽宁职业学院	Liaoning vocational college
辽宁林业职业技术学院	Liaoning forestry vocational and technical college
辽宁轨道交通职业学院	Liaoning rail transit vocational college
辽宁机电职业技术学院	Liaoning institute of mechanical and electrical technology
辽宁装备制造职业技术学院	Liaoning institute of equipment manufacturing
辽宁地质工程职业学院	Liaoning geological engineering vocational college
辽宁建筑职业学院	Liaoning college of architecture
辽宁城市建设职业技术学院	Liaoning city construction vocational and technical college
辽宁医药职业学院	Liaoning medical college
辽宁水利职业学院	Liaoning university of water resources
辽源职业技术学院	Liaoyuan vocational and technical college
四平职业大学	Siping vocational college
长春汽车工业高等专科学校	Changchun college of automobile industry
长春医学高等专科学校	Changchun medical college
吉林交通职业技术学院	Jilin jiaotong vocational and technical college
吉林电子信息职业技术学院	Jilin vocational college of electronic information technology
吉林工业职业技术学院	Jilin institute of industrial technology
吉林工程职业学院	Jilin engineering vocational college
长春职业技术学院	Changchun vocational and technical college
白城医学高等专科学校	Baicheng medical college
长春信息技术职业学院	Changchun information technology vocational college
松原职业技术学院	Songyuan vocational and technical college
吉林铁道职业技术学院	Jilin railway vocational and technical college
白城职业技术学院	Baicheng vocational and technical college
吉林科技职业技术学院	Jilin university of science and technology
延边职业技术学院	Yanbian vocational and technical college
黑龙江职业学院	Heilongjiang vocational college
大庆职业学院	Daqing vocational college
黑龙江林业职业技术学院	Heilongjiang vocational college of forestry
哈尔滨电力职业技术学院	Harbin electric power vocational and technical college
哈尔滨铁道职业技术学院	Harbin railway vocational and technical college
大兴安岭职业学院	Tai hing 'an ling vocational college
黑龙江生物科技职业学院	Heilongjiang biotechnology vocational college
黑龙江生态工程职业学院	Heilongjiang vocational college of ecological engineering
七台河职业学院	Qitaihe vocational college
黑龙江民族职业学院	Heilongjiang vocational college for nationalities
大庆医学高等专科学校	Daqing medical college
黑龙江交通职业技术学院	Heilongjiang jiaotong vocational and technical college
上海东海职业技术学院	Shanghai donghai vocational and technical college
上海出版印刷高等专科学校	Shanghai publishing and printing college
上海城建职业学院	Shanghai urban construction vocational college
上海电子信息职业技术学院	Shanghai institute of electronic information technology
上海震旦职业学院	Shanghai zhendan vocational college
上海民远职业技术学院	Shanghai minyuan vocational and technical college
上海济光职业技术学院	Shanghai jiguang vocational and technical college
上海科学技术职业学院	Shanghai institute of science and technology
上海农林职业技术学院	Shanghai college of agriculture and forestry
上海中侨职业技术学院	Shanghai zhongqiao vocational and technical college
上海体育职业学院	Shanghai vocational college of sports
上海民航职业技术学院	Shanghai civil aviation vocational and technical college
盐城幼儿师范高等专科学校	Yancheng infant normal college
无锡职业技术学院	Wuxi institute of vocational technology
江苏建筑职业技术学院	Jiangsu vocational college of architecture
南京工业职业技术学院	Nanjing institute of industrial technology
江苏工程职业技术学院	Jiangsu technical college of engineering
连云港职业技术学院	Lianyungang vocational and technical college
南通职业大学	Nantong vocational university
苏州职业大学	Suzhou vocational university
沙洲职业工学院	Sha chau vocational college
扬州市职业大学	Yangzhou vocational university
连云港师范高等专科学校	Lianyungang normal college
江苏经贸职业技术学院	Jiangsu economic and trade vocational and technical college
九州职业技术学院	Jiuzhou vocational and technical college
硅湖职业技术学院	Silicon lake vocational and technical college
泰州职业技术学院	Taizhou vocational and technical college
常州信息职业技术学院	Changzhou institute of information technology
江苏海事职业技术学院	Jiangsu maritime technical college
应天职业技术学院	Ying tian vocational and technical college
无锡科技职业学院	Wuxi institute of science and technology
盐城卫生职业技术学院	Yancheng health vocational and technical college
南通科技职业学院	Nantong university of science and technology
苏州经贸职业技术学院	Suzhou institute of business and economics
苏州工业职业技术学院	Suzhou institute of industrial technology
苏州卫生职业技术学院	Suzhou health vocational and technical college
无锡商业职业技术学院	Wuxi institute of business and vocational technology
南通航运职业技术学院	Nantong shipping college
南京交通职业技术学院	Nanjing jiaotong vocational and technical college
淮安信息职业技术学院	Huai 'an institute of information technology
江苏农牧科技职业学院	Jiangsu vocational college of agriculture and animal husbandry technology
常州纺织服装职业技术学院	Changzhou institute of textile and clothing technology
苏州农业职业技术学院	Suzhou agricultural vocational technical college
苏州工业园区职业技术学院	Suzhou industrial park vocational and technical college
南京科技职业学院	Nanjing institute of science and technology
正德职业技术学院	Zhengde vocational and technical college
无锡南洋职业技术学院	Wuxi nanyang vocational and technical college
金肯职业技术学院	Kinken vocational and technical college
常州轻工职业技术学院	Changzhou light industry vocational and technical college
常州工程职业技术学院	Changzhou institute of engineering
江苏农林职业技术学院	Jiangsu college of agriculture and forestry
江苏食品品药品职业技术学院	Jiangsu vocational technical college of food and drug
建东职业技术学院	Jiandong vocational and technical college
南京铁道职业技术学院	Nanjing railway vocational and technical college
徐州工业职业技术学院	Xuzhou institute of industrial technology
江苏信息职业技术学院	Jiangsu institute of information technology
南京信息职业技术学院	Nanjing institute of information technology
江海职业技术学院	Jianghai vocational and technical college
常州机电职业技术学院	Changzhou institute of mechanical and electrical technology
江阴职业技术学院	Jiangyin vocational and technical college
无锡城市职业技术学院	Wuxi city vocational and technical college
无锡工艺职业技术学院	Wuxi institute of technology
健雄职业技术学院	Jianxiong vocational and technical college
盐城工业职业技术学院	Yancheng institute of industrial technology
江苏财经职业技术学院	Jiangsu college of finance and economics
扬州工业职业技术学院	Yangzhou institute of industrial technology
昆山登云科技职业学院	Kunshan dengyun technical college
南京视觉艺术职业学院	Nanjing vocational college of visual arts
江苏城市职业学院	Jiangsu city vocational college
南京城市职业学院	Nanjing city vocational college
南京机电职业技术学院	Nanjing institute of mechanical and electrical technology
苏州高博软件技术职业学院	Suzhou gaobo software technology vocational college
南京旅游职业学院	Nanjing vocational college of tourism
江苏建康职业学院	Jiangsu jiankang vocational college
苏州信息职业技术学院	Suzhou institute of information technology
苏州工业园区服务外包职业学院	Suzhou industrial park service outsourcing vocational college
徐州幼儿师范高等专科学校	Xuzhou infant normal college
徐州生物工程职业技术学院	Xuzhou institute of biological engineering
江苏商贸职业学院	Jiangsu vocational college of commerce and trade
南通师范高等专科学校	Nantong normal college
扬州中瑞酒店职业学院	Yangzhou zhongrui hotel vocational college
江苏护理职业学院	Jiangsu nursing vocational college
江苏财会职业学院	Jiangsu institute of finance and accounting
江苏城乡建设职业学院	Jiangsu urban and rural construction vocational college
江苏航空职业技术学院	Jiangsu aviation vocational and technical college
江苏安全技术职业学院	Jiangsu vocational college of safety technology
宁波职业技术学院	Ningbo institute of vocational technology
温州职业技术学院	Wenzhou institute of vocational technology
浙江交通职业技术学院	Zhejiang jiaotong vocational and technical college
金华职业技术学院	Jinhua vocational and technical college
宁波城市职业技术学院	Ningbo city vocational and technical college
浙江同济科技职业学院	Zhejiang tongji vocational college of science and technology
浙江工商职业技术学院	Zhejiang college of business and technology
台州职业技术学院	Taizhou vocational and technical college
浙江工贸职业技术学院	Zhejiang institute of industry and trade
浙江医药高等专科学校	Zhejiang medical college
浙江机电职业技术学院	Zhejiang institute of mechanical and electrical technology
浙江建设职业技术学院	Zhejiang construction vocational and technical college
浙江经贸职业技术学院	Zhejiang economic and trade vocational and technical college
浙江商业职业技术学院	Zhejiang college of business and technology
浙江经济职业技术学院	Zhejiang college of economics and technology
浙江育英职业技术学院	Zhejiang yuying vocational and technical college
浙江金融职业学院	Zhejiang university of finance
浙江工业职业技术学院	Zhejiang institute of industrial technology
杭州职业技术学院	Hangzhou vocational and technical college
嘉兴职业技术学院	Jiaxing vocational and technical college
湖州职业技术学院	Huzhou vocational and technical college
绍兴职业技术学院	Shaoxing vocational and technical college
衢州职业技术学院	Quzhou vocational and technical college
丽水职业技术学院	Lishui vocational and technical college
浙江东方职业技术学院	Zhejiang Oriental vocational and technical college
义乌工商职业技术学院	Yiwu college of business and technology
浙江纺织服装职业技术学院	Zhejiang textile and clothing vocational and technical college
杭州科技职业技术学院	Hangzhou institute of science and technology
嘉兴南洋职业技术学院	Jiaxing nanyang vocational and technical college
浙江广厦建设职业技术学院	Zhejiang guangsha construction vocational and technical college
杭州万向职业技术学院	Hangzhou wanxiang vocational and technical college
浙江邮电职业技术学院	Zhejiang college of posts and telecommunications
宁波卫生职业技术学院	Ningbo institute of health technology
台州科技职业学院	Taizhou university of science and technology
浙江国际海运职业技术学院	Zhejiang international maritime transport vocational and technical college
浙江体育职业技术学院	Zhejiang sports vocational and technical college
温州科技职业学院	Wenzhou institute of science and technology
浙江农业商贸职业学院	Zhejiang agricultural trade vocational college
浙江科贸职业技术学院(筹)	Zhejiang college of science and trade (financing)
浙江舟山群岛新区旅游与健康职业学院	Zhejiang zhoushan archipelago new area tourism and health vocational college
安徽职业技术学院	Anhui institute of vocational technology
淮北职业技术学院	Huaibei vocational and technical college
芜湖职业技术学院	Wuhu vocational and technical college
淮南联合大学	Huainan union university
安徽水利水电职业技术学院	Anhui institute of water resources and hydropower technology
阜阳职业技术学院	Fuyang vocational and technical college
铜陵职业技术学院	Tongling college of vocational technology
民办万博科技职业学院	Private wanbo science and technology vocational college
淮南职业技术学院	Huainan vocational and technical college
合肥通用职业技术学院	Hefei general vocational and technical college
安徽工贸职业技术学院	Anhui institute of industry and trade
宿州职业技术学院	Suzhou vocational and technical college
安徽电子信息职业技术学院	Anhui college of electronic information technology
安徽交通职业技术学院	Anhui traffic vocational and technical college
安徽中医药高等专科学校	Anhui college of traditional Chinese medicine
安徽医学高等专科学校	Anhui medical college
合肥职业技术学院	Hefei vocational and technical college
滁州职业技术学院	Chuzhou vocational and technical college
池州职业技术学院	Chizhou vocational and technical college
宣城职业技术学院	Xuancheng vocational and technical college
安徽广播影视职业技术学院	"Anhui radio, film and television vocational technical college"
民办合肥滨湖职业技术学院	Private hefei binhu vocational and technical college
安徽电气工程职业技术学院	Anhui institute of electrical engineering
安徽冶金科技职业学院	Anhui metallurgical technology vocational college
安徽机电职业技术学院	Anhui institute of mechanical and electrical technology
安徽工商职业学院	Anhui college of commerce and industry
安徽中澳科技职业学院	Anhui sino-australian college of science and technology
阜阳科技职业学院	Fuyang institute of science and technology
亳州职业技术学院	Bozhou vocational and technical college
安徽国防科技职业学院	Anhui national defense science and technology vocational college
安庆职业技术学院	Anqing vocational and technical college
马鞍山师范高等专科学校	Ma on shan normal college
安徽林业职业技术学院	Anhui forestry vocational and technical college
安徽新闻出版职业技术学院	Anhui college of journalism and publishing
安徽邮电职业技术学院	Anhui college of posts and telecommunications
安徽工业职业技术学院	Anhui institute of industrial technology
合肥财经职业学院	Hefei vocational college of finance and economics
安庆医药高等专科学校	Anqing medical college
